YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,313Ba,122,ponderosa pine,Pinus ponderosa,0.0020284746298308,1.11135649999157,Expand,5.29104875894051e-05,0.032908485353993,0.182522406612657,0.19981811751972,0.0367705295086833,0.00771006272697177,2.92655180309713e-07,0.113210960846051,0.000930124826152526,0.00098063563667702,0.000310165009922914,5.8861815996433e-06,48,404
2018,313Ba,202,Douglas-fir,Pseudotsuga menziesii,0.00248464995746271,1.4308765440406,Expand,0.000108604884241247,0.0457952140118836,0.173645306285223,0.193508809089679,0.00589625846645108,0.0148411660186684,1.04572475737954e-06,0.185934021147826,0.00174169260441855,0.00222889060679133,1.65660711996577e-05,9.59232098007101e-06,16,343
2018,313Ba,746,quaking aspen,Populus tremuloides,-0.0027491231944365,-3.26368142435951,Decline,0.000175509113810602,0.197308977954377,0.0842338095231219,0.0592105161374744,-0.0591118411007474,-0.0131587652609402,1.84089279557041e-06,2.32660600836232,0.000596092712102959,0.000554653604624767,0.000238393250968677,0.000192508128464963,7,232
2018,313Ba,803,Arizona white oak,Quercus arizonica,0.000760303982878612,11.1060884095976,Expand,0,0,0.00684583045657709,0.0130042927178938,0,0.154320987654321,0,0,-1.80151375460596e-20,-7.20605501842384e-20,0,-9.12186709460991e-18,1,48
2018,313Ba,814,Gambel oak,Quercus gambelii,0.0020530945345251,1.34559408727035,Expand,0.000240913622944406,0.159332873165489,0.152579039544531,0.154903603331533,-0.00918012042909885,-0.00299485590600881,6.06729911550956e-06,2.65389333496192,0.000349370027615821,0.000435215669147403,0.000131836304221999,1.74145777493841e-05,44,404
2018,313Bc,65,Utah juniper,Juniperus osteosperma,0.00101373575134688,0.730821541565258,Expand,0.00015504639515859,0.105227128953059,0.138711804960713,0.146568684072486,0.0114407643260192,0.00136228953857324,3.9152840087382e-07,0.180341370711499,0.00297441198149293,0.00311885912834678,0.000333010747823628,0.000308615269892455,13,65
2018,313Bc,69,oneseed juniper,Juniperus monosperma,0.000440343945917254,0.246474818975678,Expand,0,0,0.17865676816288,0.18046217834114,0,0.00218148648279358,0,0,0,-8.82326330815508e-18,0,0,1,39
2018,313Bc,106,common or two-needle pinyon,Pinus edulis,0.000342579546979322,1.62304889854058,Expand,0.000145111872738214,0.00273235868939347,0.0211071611759426,0.0231777926595454,-0.0461425403718561,-0.202637419684212,7.41610317186122e-08,2.6293311730056e-05,0.000283638418026103,0.000342598630445515,0.00339786205158695,0.003482846397206,3,16
2018,313Bc,748,Fremont cottonwood,Populus fremontii,,,Stable,,,,,,,,,,,,,0,41
2018,313Bd,65,Utah juniper,Juniperus osteosperma,-0.000983960973226437,-0.452804137845788,Decline,0.000756719533164394,0.345731805475202,0.217303882846041,0.22150292682283,-0.0232752614163875,-0.00261374656833868,1.78239099096989e-05,3.72058951288713,0.00195564532900035,0.00192009025471395,0.00045125425124144,0.000973796389638323,28,122
