YEAR,ECODIV,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,M26,19,subalpine fir,Abies lasiocarpa,0.000494185566558999,1.5465694562577,Expand,0.000312278211040076,1.33453822460631,0.0319536613476644,0.0368460984565985,0.295176391698219,0.00794641428364698,1.39524049849236e-07,2.54816615706649,0.00117503747988078,0.0012913894815554,0.648271548165303,3.84607249732523e-08,2,8
2018,M26,20,California red fir,Abies magnifica,-0.00267801849382346,-0.983286621445909,Decline,8.40610978952751e-05,0.0295497818058133,0.272353801568608,0.245096636892477,-0.0161882564672472,-0.0101326494975592,4.55409299751522e-07,0.056275626167251,0.000328149076692607,0.000301243251396697,2.60944370854125e-05,9.29062520848418e-06,339,250
2018,M26,21,Shasta red fir,Abies shastensis,0.00610885730710521,3.41854532145705,Expand,0.000324296063752971,0.226944078314173,0.178697566732902,0.239609498673678,0.0707676365419009,0.0235370325694535,6.06608411387015e-06,2.97072727527744,0.00122578876789336,0.00124339103407127,0.000520188711922655,0.000647152981060922,77,224
2018,M26,22,noble fir,Abies procera,-0.00234661962768002,-3.53096727432542,Decline,0.000382229586254202,0.4808758277008,0.0664582661171318,0.0437406466842291,0.086495377901085,-0.00663351691502411,4.35742087569488e-06,6.89678682952874,0.00133450724273072,0.000940017866894851,0.0196214047393083,0.0025509140661483,6,117
2018,M26,41,Port-Orford-cedar,Chamaecyparis lawsoniana,0.00248968125231067,1.73083858699048,Expand,0.000194316976791641,0.1447783809993,0.143842486007874,0.169189634469797,0.00770271001677095,0.0155904097434012,1.78476030050414e-06,0.990754009521545,0.00245334710102452,0.00291253383012931,0.000426656878302438,6.45832934035922e-05,44,184
2018,M26,50,cypress,Cupressus spp.,0,,Stable,0,,0,0,-0.101010101010101,-0.101010101010101,0,,0,0,4.02089905856545e-18,3.41585568661242e-18,1,6
2018,M26,51,Arizona cypress,Cupressus arizonica,0,,Stable,0,,0,0,,,0,,0,0,,,0,6
2018,M26,52,Baker or Modoc cypress,Cupressus bakeri,0.00592271221245171,Inf,Expand,0,,0,0.0615962070094977,Inf,Inf,0,,0,3.30141336534445e-18,,,1,10
2018,M26,55,Sargent's cypress,Cupressus sargentii,0.0127211294172754,12.0663056111219,Expand,0.00211637993164288,2.94725551654279,0.105426879007191,0.224849795573807,0.215823727193027,0.0280181017587233,0.000117263313230861,227.410477411938,0.0032892034504009,0.00709584424841043,0.104915638296151,0.000515475380760378,4,103
2018,M26,56,MacNab's cypress,Cupressus macnabiana,0.0136852380190336,Inf,Stable,,,0,0.147800570605563,Inf,Inf,-9.25729309065334e-20,,0,0,,,1,39
2018,M26,62,California juniper,Juniperus californica,-0.00195816900416887,-2.03859690910771,Decline,0.000175670506694921,0.163310656587472,0.0960547421327131,0.0770936906184698,-0.0610361847956229,-0.0291888638427827,1.8336959228729e-05,15.8474233988626,0.00191393908353769,0.00153040865921021,0.00316146148598131,0.00204968028245045,78,2285
2018,M26,64,western juniper,Juniperus occidentalis,0.00115248599741427,1.27935622381528,Expand,1.14709258858349e-05,0.0136454022448311,0.0900832759446262,0.10167859361876,0.0177239376395072,0.00167355198166336,6.51008478901422e-08,0.0921217930478108,0.000207383531594559,0.000233788266265077,0.00028953269133582,1.5557492656036e-05,418,1903
2018,M26,65,Utah juniper,Juniperus osteosperma,0.00120072308004561,17.6636227692621,Expand,0.000140541492219036,3.17333282517055,0.00679771695608831,0.0188049477565444,0.837625528421734,-0.0732272087395981,6.50806257012765e-07,331.798063601861,1.76361980118563e-05,6.39130777060065e-05,1.01071823986962,0.00103749366901983,3,129
2018,M26,81,incense-cedar,Calocedrus decurrens,0.00042684318285202,0.356788966360228,Expand,2.2012923597755e-05,0.0184269091355644,0.119634636464924,0.123853693779346,-0.00100918843646384,0.000248075405225893,4.09426888320261e-08,0.0286896927247293,2.69673154698767e-05,3.16927311844761e-05,1.22330003160472e-05,2.73979194326439e-06,821,327
2018,M26,92,Brewer spruce,Picea breweriana,0.000880871549688732,1.33159536522001,Expand,0.000171590148460479,0.14598653043093,0.066151593246436,0.0749464158254549,-0.000583233800094412,-0.00360331648942712,6.09858839339523e-07,0.441438489507958,0.00111711946029619,0.00163442137150246,0.000324133570660366,8.04130160255785e-05,10,82
2018,M26,93,Engelmann spruce,Picea engelmannii,0.000701224163738067,1.90615675587176,Expand,0.00035026941014662,0.827436232654539,0.036787329351482,0.0436202115061423,0.0029562201895128,0.0105490361505297,2.39750142377086e-07,1.33789958914903,1.1319854449761e-05,6.57183355070932e-05,6.46033338356951e-07,4.74650429107307e-05,2,10
2018,M26,98,Sitka spruce,Picea sitchensis,0.0104876130102348,11.0373325033586,Expand,0.00209488775826881,9.25680280085422e-08,0.0950194533601618,0.19989558346251,0.260364177148613,0.0683611678924491,2.34684826019011e-05,4.5823210789738e-14,0.00192644563850693,0.00852585811106624,5.96557658909311e-17,-1.96426314384283e-18,1,23
2018,M26,101,whitebark pine,Pinus albicaulis,0.00379706164022396,2.41173732277379,Expand,0.000178103219582469,0.146412760235981,0.15744092875989,0.195374568551527,0.0339423615431267,0.0199634714612248,2.47374421025537e-06,1.67174143412891,0.00152966563338033,0.00143560829237189,0.000606174173488912,0.00034441805433697,61,302
2018,M26,103,knobcone pine,Pinus attenuata,0.000382652156989315,0.793167208541597,Expand,0.000152193149986215,0.334104112806841,0.0482435674178841,0.0517071075770322,0.0321189327984617,-0.00803550399694795,1.49883101549813e-06,7.22314117844564,0.000128267995769742,5.75963633357141e-05,0.00523217545705873,0.000407499147593803,82,251
2018,M26,104,foxtail pine,Pinus balfouriana,0.00103953047483745,0.331360016137201,Expand,0.000118962714003504,0.0347122143294188,0.313716327925042,0.324561001374418,0.00659778187399923,0.0012266922293151,2.82080469857096e-07,0.0240168435235817,0.00721672926217729,0.00766030301189435,1.32707971551198e-05,1.1702657885204e-06,14,79
