grps,n,int,rate,upper_int,upper_rate,lower_int,lower_rate,fe_int,fe_rate,upper_fe_int,upper_fe_rate,lower_fe_int,lower_fe_rate
722,15,274.66454951167,-0.780465659864442,365.601036608714,-0.587570600657598,218.501259206132,-1.01771270685568,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
901,834,353.940138469323,-0.797704142104498,400.411082620151,-0.731765357030665,325.519970976569,-0.850476461026168,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
902,16,272.510048558443,-0.824956440038678,393.745277125819,-0.608284577471666,198.807219092239,-1.00372805413854,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
911,323,285.061025178067,-0.87402723876122,301.696656002411,-0.830022609365058,269.355929924898,-0.923371264164893,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
912,75,307.693264495658,-0.796156472723439,351.001151275288,-0.64731643697331,271.619572484709,-0.978791412714472,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
921,46,144.721556837374,-0.921799758933462,176.626673792669,-0.729852998654935,112.829345558595,-1.16559493826365,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
922,157,278.40248185447,-0.930638738508756,309.808987019262,-0.816006085010882,258.006390665264,-1.0242759511958,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
923,146,275.45004880704,-0.648116521538756,314.821241068142,-0.550402058687639,244.558347591921,-0.808765115896296,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
924,245,88.2359169200825,-1.16338141346013,98.041809712252,-1.07067299065157,81.5653321576869,-1.23862196765623,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
931,102,203.744734020668,-0.782704189154308,229.168490264106,-0.617599025147832,175.552560023526,-1.00346208540748,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
933,291,382.165363018218,-0.766023831027765,403.179551972323,-0.726139541535285,364.453373604546,-0.805995415233207,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
934,107,168.354586390452,-1.00865384280518,203.725269669405,-0.930493414527699,147.527514084038,-1.06770095936353,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
935,18,146.727699052818,-0.852480722697773,194.206509255279,-0.627657734366468,124.470382614975,-1.08827291641778,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
941,221,464.859262753375,-0.767086457891677,517.553743270277,-0.671095275525255,431.453114988009,-0.841168473809962,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
942,70,305.997559220535,-0.763983956438787,338.041311795117,-0.697488336476612,291.449122791613,-0.819023402907419,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
943,22,371.459478044294,-0.77777928709699,476.354792158956,-0.641476911671671,330.693479317044,-0.909007520270612,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
961,65,377.331614600805,-0.85136787694624,434.697686560094,-0.766733642441379,344.278255785259,-0.919145514571234,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
962,79,232.488270457143,-0.56752497726919,253.482678698719,-0.518784413372797,219.184812481555,-0.647607956801361,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
971,639,321.695524466889,-0.770820421795023,380.638028070352,-0.711017280262822,293.640111088221,-0.805037551909021,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
972,222,240.690038143432,-0.948066006941415,265.289424255384,-0.869679222910043,208.251859582108,-1.04616159546455,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
973,268,140.336724837936,-0.786897519709178,154.558246620478,-0.720980911068937,130.586690039412,-0.824258475738531,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
974,134,243.749346542286,-0.78557752459319,266.886565078245,-0.725463527884642,217.527799430001,-0.863855244559546,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
975,59,411.931992371589,-0.715922075120876,515.594355756219,-0.622427509908028,297.778418111913,-0.858806806886926,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
976,2,253.894338423324,-0.842500912640006,486.811682371054,-0.598777814149093,109.691613014786,-1.09244441207861,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
999,924,308.189109362553,-0.859361858268848,337.33789466463,-0.74833825643883,289.820377688382,-0.947040033657285,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
